---
IAT at: 146c1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
146c1,7742a8f0,msvcrt._vwprintf_p #1033
---
IAT at: 6f7b1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
814f0,75591020,kernelbase.CancelSynchronousIo #129
814f8,754a73c0,kernelbase.IsProcessInJob #1014
81500,754a4dc0,kernelbase.GetModuleFileNameA #667
81504,754808f0,kernelbase.FindStringOrdinal #431
81508,754936f0,kernelbase.GetModuleHandleExW #673
8150c,754b40a0,kernelbase.LockResource #1100
81510,7558b0d0,kernelbase.EnumResourceNamesExW #358
81514,75493880,kernelbase.GetModuleHandleW #674
81518,754a4eb0,kernelbase.GetModuleFileNameW #670
8151c,754b09f0,kernelbase.FreeLibraryAndExitThread #455
81520,75493830,kernelbase.GetModuleHandleA #671
81524,754b4660,kernelbase.FreeResource #457
81528,754b2b60,kernelbase.GetModuleHandleExA #672
8152c,7558a6e0,kernelbase.EnumResourceLanguagesExA #354
81530,7558bdf0,kernelbase.EnumResourceTypesExA #360
81534,7558a760,kernelbase.EnumResourceLanguagesExW #355
81538,7558be20,kernelbase.EnumResourceTypesExW #361
8153c,754938e0,kernelbase.LoadLibraryExA #1077
81540,754ad560,kernelbase.LoadResource #1081
81544,754a5c90,kernelbase.FindResourceExW #429
81548,754a2780,kernelbase.SizeofResource #1731
8154c,75491770,kernelbase.FreeLibrary #454
81550,75494190,kernelbase.GetProcAddress #744
81554,75494720,kernelbase.LoadLibraryExW #1078
81558,7558b070,kernelbase.EnumResourceNamesExA #357
8155c,754ad7d0,kernelbase.DisableThreadLibraryCalls #312
81564,754b3240,kernelbase.LoadLibraryA #1076
81568,754b3d80,kernelbase.LoadLibraryW #1079
8156c,754a5c70,kernelbase.FindResourceW #430
81574,7558bdc0,kernelbase.EnumResourceNamesW #359
8157c,7551bb90,kernelbase.EnumResourceNamesA #356
81584,7558d1c0,kernelbase.LoadPackagedLibrary #1080
8158c,75550c40,kernelbase.GetFileMUIInfo #611
81590,754b0a50,kernelbase.LocaleNameToLCID #1096
81594,755474f0,kernelbase.IsValidLanguageGroup #1026
81598,754b0af0,kernelbase.IsValidLocale #1027
8159c,7559e470,kernelbase.FormatMessageA #447
815a0,7549ff30,kernelbase.SetThreadPreferredUILanguages #1705
815a4,755492d0,kernelbase.EnumSystemLocalesW #369
815a8,75551b10,kernelbase.IdnToUnicode #936
