---
IAT at: e1000, size: 588, thunks: 145, is_terminated: 1, in_main: 1
---
e13dc,75493880,kernelbase.GetModuleHandleW #674
e13e0,75494720,kernelbase.LoadLibraryExW #1078
e13e4,75491770,kernelbase.FreeLibrary #454
e13e8,754ad7d0,kernelbase.DisableThreadLibraryCalls #312
e13f0,754b3d80,kernelbase.LoadLibraryW #1079
e13f8,7674d700,kernel32.GetProfileIntA #752
e1400,7670fc00,kernel32.GetCurrentProcessId #574
e1404,7670fbf0,kernel32.GetCurrentProcess #573
e1408,767041f0,kernel32.GetCurrentThreadId #578
e140c,76722dd0,kernel32.TerminateProcess #1481
e1414,7670ba60,kernel32.IsProcessorFeaturePresent #950
e141c,77561e30,kernelbase.QueryPerformanceCounter #1384
e1424,7555b830,kernelbase.RegCreateKeyExA #1443
e1428,75497bd0,kernelbase.RegCloseKey #1441
e142c,754959c0,kernelbase.RegQueryValueExA #1491
e1430,75498070,kernelbase.RegEnumKeyExA #1458
e1434,754cf970,kernelbase.RegGetValueA #1464
e1438,7555f4b0,kernelbase.RegSetValueExA #1500
e143c,75495760,kernelbase.RegOpenKeyExA #1482
e1444,75480c80,kernelbase.WideCharToMultiByte #1966
e1448,7549b290,kernelbase.CompareStringOrdinal #183
e1450,76723270,kernel32.lstrcmp #1644
e1454,7670c9c0,kernel32.lstrcmpi #1647
e145c,75492130,kernelbase.CreateMutexW #237
e1460,754af800,kernelbase.OpenMutexW #1150
e1464,754ae040,kernelbase.ReleaseMutex #1512
e1468,754a3c70,kernelbase.WaitForSingleObject #1934
e146c,754a6730,kernelbase.ResetEvent #1537
e1470,75492100,kernelbase.ReleaseSemaphore #1518
e1474,75493c90,kernelbase.CreateSemaphoreExW #255
e1478,75493bd0,kernelbase.OpenEventW #1145
e147c,77564580,kernel32.DeleteCriticalSection #304
e1480,77553bd0,kernel32.EnterCriticalSection #341
e1484,77552bd0,kernel32.LeaveCriticalSection #1006
e1488,77562400,kernel32.InitializeCriticalSection #910
e1490,754adf00,kernelbase.Sleep #1732
e1498,754a2070,kernelbase.GetTickCount #868
e149c,7549f890,kernelbase.GetSystemTimeAsFileTime #834
e14a0,754a0a20,kernelbase.GetSystemInfo #824
e14a4,754acef0,kernelbase.GetVersionExA #893
e14ac,77548930,advapi32.EventSetInformation #1271
e14b0,77547970,advapi32.EventUnregister #1272
e14b4,775462f0,advapi32.EventRegister #1270
e14b8,775683b0,advapi32.EventWriteTransfer #1278
e14c0,754b1540,kernelbase.SetSecurityDescriptorDacl #1684
e14c4,75588d00,advapi32.AddMandatoryAce #1029
e14c8,754aff00,kernelbase.GetSidSubAuthority #795
e14cc,754b3a60,kernelbase.GetSidLengthRequired #794
e14d0,754b1880,kernelbase.InitializeSid #959
e14d4,754b3ef0,kernelbase.SetSecurityDescriptorSacl #1688
e14d8,754b1950,kernelbase.IsValidSid #1032
e14dc,754b1df0,kernelbase.InitializeSecurityDescriptor #958
e14e0,754b1cb0,kernelbase.InitializeAcl #946
e14e4,754b3b50,kernelbase.SetKernelObjectSecurity #1651
e14e8,754aeaa0,kernelbase.GetLengthSid #647
e14ec,754afab0,kernelbase.AddAccessAllowedAce #21
e14f4,714d0f20,dxgi.CreateDXGIFactory1 #10
e14fc,7743e640,msvcrt.strcpy_s #1348
e1500,7743eda0,msvcrt.strrchr #1361
e1504,7740d4a0,msvcrt.bsearch #1199
e1508,7740da40,msvcrt.qsort #1319
e150c,7743f250,msvcrt.wcscpy_s #1410
e1510,77429fb0,msvcrt.vsnprintf #1395
e1514,773ebd00,msvcrt.__CxxFrameHandler #140
e1518,773f8a30,msvcrt.malloc #1291
e151c,773f1f10,msvcrt.??1type_info@@UAE@XZ #17
e1520,7740a860,msvcrt._purecall #808
e1524,773e9ad0,msvcrt.??0exception@@QAE@XZ #12
e1528,773e9a60,msvcrt.??0exception@@QAE@ABV0@@Z #11
e152c,773e9b30,msvcrt.??1exception@@UAE@XZ #16
e1530,773e9e80,msvcrt.?what@exception@@UBEPBDXZ #76
e1534,773f6160,msvcrt._callnewh #301
e1538,773eb2e0,msvcrt._CxxThrowException #119
e153c,774067f0,msvcrt._XcptFilter #130
e1540,77418070,msvcrt._amsg_exit #284
e1544,774183b0,msvcrt._initterm #502
e1548,77409fd0,msvcrt._except_handler4_common #373
e154c,7743e000,msvcrt.memmove #1305
e1550,7743b8e0,msvcrt._strcmpi #898
e1554,7743db90,msvcrt.memcmp #1302
e1558,773f8840,msvcrt.free #1235
e155c,77454360,msvcrt.floor #1224
e1560,77454120,msvcrt.ceil #1203
e1564,7743dbf0,msvcrt.memcpy #1303
e1568,77452620,msvcrt._libm_sse2_cos_precise #607
e156c,77453d70,msvcrt._libm_sse2_sqrt_precise #613
e1570,7743e3d0,msvcrt.memset #1307
e1578,7752dd60,ntdll.EtwEventWriteNoRegistration #83
e157c,77560030,ntdll.SbSelectProcedure #1705
e1580,7756c680,ntdll.RtlDllShutdownInProgress #958
